Ingilizce,Türkçe
along,boyunca
majority,çoğunluk
arrival,varış
departure,kalkış
aisle,koridor
pharmacy,eczane
paragliding,yamaç paraşütü
efficient,verimli
naughty,yaramaz
essential,gerekli
indicate,belirtmek
wrist,bilek
chirp,cıvıldamak
apperantly,görünen o ki
polite,kibar
express,ifade etmek
cruel,zalim
wheeze,hırıltı
coitus,ilişki
kidney,böbrek
rate,oran-kur
particular,belirli
to change,bozdurmak(para)
strict,katı-sert
pair,çift
Trouser,pantolon
elbow,dirsek
heel,topuk
toe,ayak parmağı
lungs,ciğerler
stocking,çorap
evaluation,değerlendirme
liver,karaciğer
respiratory,solunum
disaster,felaket